MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
108.15,7930.55,0.0,0.0,1.0,1.0,70.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,
86.1,5215.25,1.0,0.0,1.0,1.0,62.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,
19.7,113.5,0.0,0.0,1.0,1.0,6.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,
80.9,1152.8,0.0,0.0,1.0,1.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,
84.15,1821.95,0.0,0.0,0.0,0.0,22.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,
20.15,419.9,1.0,0.0,1.0,1.0,22.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,
64.25,1024.0,1.0,0.0,1.0,1.0,16.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,
25.7,251.6,1.0,0.0,0.0,0.0,10.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,
56.0,764.55,0.0,0.0,0.0,1.0,13.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
82.4,1592.35,0.0,0.0,1.0,0.0,20.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
69.7,135.2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
73.9,3958.25,1.0,0.0,0.0,0.0,53.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,
20.6,233.9,0.0,0.0,1.0,1.0,11.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,
19.9,1363.45,1.0,0.0,1.0,0.0,69.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,
70.9,273.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
89.05,6254.45,1.0,0.0,1.0,0.0,72.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,
20.4,321.4,0.0,0.0,1.0,1.0,16.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,
84.25,3539.25,1.0,0.0,1.0,0.0,43.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,
104.4,242.8,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,
81.95,1181.75,1.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,
94.85,5000.2,0.0,0.0,1.0,0.0,53.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,
20.55,654.55,0.0,0.0,0.0,0.0,32.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,
24.7,780.2,0.0,0.0,1.0,0.0,34.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,
74.45,1145.7,0.0,1.0,0.0,0.0,15.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,
76.45,503.6,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105.35,1559.25,0.0,0.0,1.0,1.0,15.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,
20.55,1252.0,1.0,0.0,1.0,0.0,61.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
45.3,45.3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
84.5,662.65,1.0,0.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,
74.75,2453.3,1.0,0.0,1.0,1.0,33.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,
79.25,1111.65,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,
24.8,24.8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,
51.8,1023.85,1.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,
30.4,82.15,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,
19.65,244.8,0.0,0.0,0.0,0.0,13.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,
56.6,2379.1,0.0,0.0,1.0,0.0,40.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
71.9,3173.35,1.0,0.0,1.0,1.0,43.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,
91.0,531.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,
19.75,1375.4,0.0,0.0,1.0,1.0,69.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,
109.7,8129.3,0.0,0.0,1.0,1.0,72.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,
